Reporter Identifier	VALUE
1	0.001038603
2	0.001530862
3	0.039685616
4	0.003078322
5	0.000614312
6	0.000439991
7	0.267991658
8	0.003643296
9	0.022676786
10	0.027330582
11	0.051209667
12	0.000518007
13	0.000303874
14	0.000480146
15	9.25094E-05
16	0.093879892
17	0.000970933
18	0.000622456
19	0.152825797
20	0.01321628
21	0.000998507
22	0.003423672
23	0.053144345
24	9.273153267
25	36.06081255
26	7.613500912
27	0.123079296
28	0.000224105
29	0.010897643
30	0.043247484
31	0.000245696
32	8.054304413
33	0.08062997
34	0.002594658
35	0.025841972
36	0.10499991
37	0.001343545
38	2.923020607
39	0.067876689
40	3.34986E-05
41	3.42869601
42	0.172021405
43	0.45387282
44	0.940539214
45	3.971709212
