Reporter Identifier	VALUE
1	0.001679934
2	0.00121909
3	0.004070495
4	0.000722367
5	0.000308663
6	0.000242996
7	0.275986576
8	0.002616166
9	0.004640899
10	0.00554891
11	0.003092995
12	3.69625E-05
13	3.45566E-05
14	0.000869829
15	4.84488E-05
16	0.110945265
17	0.000372756
18	0.000179059
19	0.027156098
20	0.010213492
21	0.00062973
22	0.001333857
23	0.014196902
24	3.824364412
25	8.860695842
26	0.710506622
27	0.150498394
28	0.000630691
29	0.005772532
30	0.03475875
31	0.00021279
32	2.383067804
33	0.039306726
34	0.001492369
35	0.020876447
36	0.026026408
37	0.001509849
38	0.009537455
39	0.002571133
40	0.015848828
41	2.893709306
42	0.120167611
43	0.382284868
44	0.800858907
45	9.393221308
