Reporter Identifier	VALUE
1	0.000641066
2	0.000918304
3	0.011530988
4	0.001864313
5	0.001147619
6	0.001865606
7	0.547852717
8	0.00408191
9	0.043337508
10	0.035433554
11	0.27798135
12	0.000868528
13	0.000928674
14	0.000561767
15	0.00011831
16	0.076832473
17	0.001072029
18	0.000343658
19	0.101838854
20	0.006491916
21	0.000656763
22	0.002729514
23	0.168096315
24	10.24721528
25	24.98793886
26	24.86871399
27	0.157536715
28	0.000596893
29	0.028532698
30	0.051949728
31	0.000706932
32	4.37857068
33	0.042507464
34	0.001510938
35	0.076322911
36	0.189998509
37	0.002056433
38	7.607170813
39	0.086153905
40	0.17353036
41	3.425370397
42	0.171985638
43	0.453778449
44	0.939106056
45	3.983288571
