Reporter Identifier	VALUE
1	0.001239454
2	0.001678188
3	0.032276322
4	0.003018652
5	0.000694431
6	0.000505998
7	0.381411434
8	0.00298081
9	0.02676924
10	0.029317787
11	0.074249236
12	0.00063021
13	0.00035434
14	0.000215402
15	0.000103694
16	0.085236786
17	0.000916181
18	0.000552484
19	0.175278385
20	0.009941092
21	0.000854945
22	0.003829628
23	0.048982832
24	8.050174186
25	30.54194426
26	8.774518743
27	0.155989411
28	0.000267759
29	0.012506483
30	0.051475152
31	0.000290539
32	6.152701494
33	0.061991748
34	0.002801315
35	0.023159052
36	0.115112787
37	0.001686584
38	3.813775709
39	0.075751591
40	3.34768E-05
41	3.426937784
42	0.172016636
43	0.453451451
44	0.939340423
45	3.982625984
