Reporter Identifier	VALUE
1	0.001681844
2	0.002043645
3	0.014757171
4	0.002072029
5	0.000520491
6	0.001403612
7	0.419475949
8	0.004385509
9	0.026168227
10	0.022526391
11	0.115876506
12	0.000619873
13	0.000444497
14	0.001372251
15	0.000139317
16	0.102796283
17	0.000747707
18	0.001115078
19	0.255016058
20	0.009009483
21	0.001304362
22	0.006965584
23	0.052093963
24	8.115387594
25	167.8769096
26	21.31001938
27	0.154283961
28	0.000258914
29	0.033364553
30	0.066323318
31	0.000475476
32	9.000218335
33	0.081937064
34	0.002929073
35	0.038227641
36	0.139366913
37	0.001905599
38	6.445355795
39	0.078648333
40	3.25036E-05
41	3.409972253
42	0.21496296
43	0.427015398
44	0.907053782
45	3.522158908
