Reporter Identifier	VALUE
1	0.001080429
2	0.00115597
3	0.026194723
4	0.002775994
5	0.000535146
6	0.000390151
7	0.3357874
8	0.002484756
9	0.02866472
10	0.029784798
11	0.067945415
12	0.000430506
13	0.0002595
14	0.000287235
15	9.74094E-05
16	0.068603215
17	0.001067772
18	0.000581401
19	0.130174611
20	0.01112092
21	0.001076542
22	0.004241293
23	0.051500134
24	8.618399649
25	33.78521193
26	6.616737289
27	0.112213643
28	0.00021675
29	0.009474858
30	0.043204338
31	0.000318928
32	6.999830559
33	0.068588951
34	0.003080585
35	0.028450937
36	0.11380375
37	0.001921195
38	3.398315974
39	0.057389078
40	3.34652E-05
41	3.438596897
42	0.17180215
43	0.453231488
44	0.939145113
45	3.976833055
