Reporter Identifier	VALUE
1	0.000985177
2	0.001221416
3	0.003391572
4	0.000693926
5	0.000195549
6	0.000196099
7	0.270025957
8	0.002381143
9	0.004390101
10	0.004655881
11	0.002130887
12	3.2705E-05
13	3.97929E-05
14	0.000641982
15	4.61174E-05
16	0.115801031
17	0.000289986
18	0.000123181
19	0.01759452
20	0.00812042
21	0.000556577
22	0.001113386
23	0.011930266
24	3.356994097
25	8.933156272
26	0.273555885
27	0.106156896
28	0.000385968
29	0.003397572
30	0.033288554
31	0.000172247
32	3.451611286
33	0.039063635
34	0.000948654
35	0.013277893
36	0.026425416
37	0.001315585
38	0.007953855
39	0.0018914
40	3.24678E-05
41	3.383743005
42	0.175953974
43	0.447472212
44	0.935441929
45	4.012551753
