Reporter Identifier	VALUE
1	0.003380565
2	0.00332341
3	0.009837995
4	0.001816718
5	0.001375985
6	0.001920476
7	0.947619637
8	0.005544527
9	0.056821471
10	0.040472338
11	0.298433211
12	0.001109234
13	0.000945772
14	0.002746062
15	0.000309812
16	0.111853321
17	0.002113251
18	0.000795241
19	0.138329427
20	0.005061848
21	0.001024745
22	0.003875451
23	0.175626201
24	10.93574801
25	286.2793899
26	35.25069997
27	0.311143066
28	0.000477762
29	0.064291864
30	0.062231119
31	0.001318013
32	2.715616959
33	0.024031658
34	0.000571714
35	0.074463643
36	0.19649711
37	0.004041145
38	6.842767836
39	0.132409634
40	0.140493959
41	2.926507549
42	0.112467495
43	0.399531179
44	0.772110908
45	9.849018769
