Reporter Identifier	VALUE
1	0.004068464
2	0.003534691
3	0.013893944
4	0.001724746
5	0.001520962
6	0.001756355
7	0.852693994
8	0.004412769
9	0.048684286
10	0.036433262
11	0.288851522
12	0.001281545
13	0.000865667
14	0.002242308
15	0.00032696
16	0.138917475
17	0.002006783
18	0.00073728
19	0.161656116
20	0.005123694
21	0.000771578
22	0.00455258
23	0.201702378
24	10.04913905
25	335.4839646
26	39.89953423
27	0.245875519
28	0.000506658
29	0.090822905
30	0.068730773
31	0.00156676
32	2.843760565
33	0.023444609
34	0.000771632
35	0.076957194
36	0.187973344
37	0.004304317
38	8.007767016
39	0.113408447
40	0.10857772
41	3.317508127
42	0.134008833
43	0.389744346
44	0.785509158
45	7.34722777
