Reporter Identifier	VALUE
1	0.001165593
2	0.000939565
3	0.00288079
4	0.000700746
5	0.000152943
6	0.00010155
7	0.316073064
8	0.002936127
9	0.004002674
10	0.005066763
11	0.002117063
12	5.42499E-05
13	3.14797E-05
14	0.00063868
15	3.9617E-05
16	0.115149496
17	0.000231465
18	9.57333E-05
19	0.015497507
20	0.007697897
21	0.000502002
22	0.000991211
23	0.012208925
24	2.8844175
25	7.271132069
26	0.206409317
27	0.125301883
28	0.000546224
29	0.004153894
30	0.042511
31	0.000198246
32	4.095614705
33	0.044813586
34	0.001036963
35	0.015324459
36	0.021824312
37	0.001275678
38	0.006453869
39	0.001424114
40	3.14797E-05
41	3.342621497
42	0.180013873
43	0.441253614
44	0.931792097
45	4.042029917
