Reporter Identifier	VALUE
1	0.001747224
2	0.002334258
3	0.017436811
4	0.001653203
5	0.000512159
6	0.001304199
7	0.516192112
8	0.002836406
9	0.025690522
10	0.019714214
11	0.096728176
12	0.000779902
13	0.000360923
14	0.001619855
15	0.000135172
16	0.109316267
17	0.00066212
18	0.000923295
19	0.31969764
20	0.007495706
21	0.001335763
22	0.00567714
23	0.065788535
24	7.101776707
25	131.5420273
26	18.6083728
27	0.138896293
28	0.000243461
29	0.02409838
30	0.046262274
31	0.000497464
32	7.495787218
33	0.082874955
34	0.002650316
35	0.04031275
36	0.118370378
37	0.002209262
38	4.545944277
39	0.095648092
40	3.38985E-05
41	3.578562062
42	0.197905005
43	0.444476793
44	0.882935527
45	3.597962126
