Reporter Identifier	VALUE
1	0.002950837
2	0.003666044
3	0.011054212
4	0.001572243
5	0.001232702
6	0.002289646
7	1.072992506
8	0.006318247
9	0.070123412
10	0.045662068
11	0.33034376
12	0.001145458
13	0.000951664
14	0.003122766
15	0.000319331
16	0.128972912
17	0.002097578
18	0.000778908
19	0.129690077
20	0.004721104
21	0.000877715
22	0.004284195
23	0.156435517
24	14.01053362
25	255.5284294
26	45.7607883
27	0.280746511
28	0.000498624
29	0.078516518
30	0.060506754
31	0.001001474
32	2.736894834
33	0.022766242
34	0.000668929
35	0.073972867
36	0.231076107
37	0.003484192
38	7.217203829
39	0.176377691
40	0.123282506
41	3.212819654
42	0.121939716
43	0.4022711
44	0.756567128
45	8.386913636
