Reporter Identifier	VALUE
1	0.002054353
2	0.002069359
3	0.021257268
4	0.001795872
5	0.000435542
6	0.001361299
7	0.436907568
8	0.003386944
9	0.024908812
10	0.019212646
11	0.121995514
12	0.000698235
13	0.000301658
14	0.001473436
15	0.000115094
16	0.133387927
17	0.000632652
18	0.001171847
19	0.281576727
20	0.006726166
21	0.001163591
22	0.005136139
23	0.057759417
24	8.286713246
25	118.0537451
26	20.5732812
27	0.140048652
28	0.000209538
29	0.026591335
30	0.050492048
31	0.000400975
32	6.42189911
33	0.066758715
34	0.002330572
35	0.037723308
36	0.128478602
37	0.002040304
38	3.800001531
39	0.081990468
40	3.13625E-05
41	3.520059951
42	0.180128704
43	0.469956784
44	0.955879059
45	3.510800456
