gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Gpr27,9,1.732050808,3.666666667,2.309401077,-1.099535674,FALSE,FALSE,high_in_GF,0.04,0.04,TRUE
Acin1,40.107,7.918153636,11.24533333,10.22053533,-1.747152041,FALSE,FALSE,high_in_GF,0.02,0.02,TRUE
Stk40,56.38833333,68.76763344,193.7933333,38.7821786,1.763114922,FALSE,FALSE,non_specific,0.05,0.05,FALSE
Lratd1,13.23033333,7.125809451,30.46,6.052668833,1.144549215,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Yif1b,5.471666667,9.477204669,24.59233333,6.361189302,1.983502482,FALSE,FALSE,SCFA_specific_medium,0.05,0.05,FALSE
Mapk9,3.308666667,5.730778772,22.87466667,8.260806337,2.470167195,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
A4galt,132.3333333,41.8608807,279.3446667,72.56118098,1.072164125,FALSE,FALSE,non_specific,0.05,0.05,FALSE
Zfp513,20.44266667,22.96530752,81.92566667,19.88685439,1.951334371,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Tmem8,8.001666667,13.85929321,35.65966667,7.953630638,2.02592962,FALSE,FALSE,non_specific,0.05,0.05,FALSE
Vwa5b2,0.5,0.5,2.333333333,1.040833,1.152003093,FALSE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Adamts9,39.08333333,16.31520252,108.6586667,34.10534588,1.451945444,FALSE,FALSE,non_specific,0.05,0.05,FALSE
Srsf11,31.023,19.67580819,78.51566667,10.70722468,1.312130667,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Gkap1,2.031333333,3.51837254,11.784,3.986954226,2.076314905,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Tcerg1,69.982,62.10505686,266.9006667,61.29178258,1.916173042,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Rbm27,23.421,24.73315574,97.34566667,17.38019696,2.009739208,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
