gene_symb,gene_symb_1
Parp6,Pcsk4
Luc7l2,Trak2
Lrch4,Rab29
Id2,Kcne2
Psmc3,Eif2b3
Sike1,Clk3
Yif1b,Foxc2
Naa60,Dnttip1
Tardbp,Yif1a
Hps5,Pacs1
Elac2,Ero1a
Gm10309,Nme7
Eps8l1,Pde9a
Psmc3,Hip1
Nap1l4,Ehd4
Fbrsl1,Pja2
Vti1b,Eml2
Hif1a,Nup58
Tet2,Lgals3bp
Baiap2,Alg10
Srrt,Setd4
Fkbp5,Lmbrd1
Fam166c,Cdkn1c
Igfbp2,Plpp2
Rbm33,Plbd2
Sirt3,Plekha5
Igkv4-74,Gtf3a
Arfip2,Arfgap1
Pars2,Nrp1
Crmp1,Cdk5rap1
Lrp3,Rapgef4
Gm3893,Exoc3
Vwf,Tmed7
Lamc2,Sra1
Atp10d,Ctsz
Exo1,Tank
Mink1,Ppp1r14b
Gpr137b,Zfp335
Ankhd1,Nmt1
Homer2,Snx27
Atxn7l2,Adgrg1
Cnot2,Aldh1a3
4930562C15Rik,Rbm45
Brpf1,Slc35e4
Zfp879,Zscan12
Gm10778,Npc1
Med25,Pxmp4
Vwa5b2,Impa2
Klhdc3,Aip
Rab44,Pdlim7
Cblb,Gnat3
Heatr3,Tox4
Slc25a19,Bod1
Retreg1,Nt5m
Atp6v1g2,Drc3
Stfa1,Shmt1
Phyhipl,Dhrs7b
Bclaf1,Wrap53
Kri1,Med31
Kif3a,Dph1
Psme2,Tnfaip1
Cyth1,Higd1b
Ptk6,Cep95
Cep68,Ppm1f
Xpnpep1,Trmt2a
Sesn3,Abcf3
Lekr1,Psmd2
Acad8,Pigx
Klhl18,Stfa3
Cep164,Hcls1
Gas8,Tmem39a
Tyw1,Nit2
Rbfox2,Cmss1
Tubgcp6,Cryzl1
Plekho1,Gart
Cacnb2,Cfap298
Rtkn2,Mrap
Mfsd2b,Mcoln1
Gm49320,Rfc3
Spef1,Aimp2
Zfpl1,Eif3b
Rasgrp4,Dhrsx
Arhgef10l,Taf6
Ubxn11,Ccl24
Foxp1,Sbds
Ccna2,Tmem248
Thap7,Rita1
Slc9a8,Srsf9
Aspscr1,Gltp
Fosl2,Rbms2
Nup88,Rps6kc1
Sorbs1,Eprs1
4430402I18Rik,Nenf
Maff,Glmn
Rhod,Abraxas1
Mark2,Rchy1
Gne,Commd8
Tex29,Lap3
Txnrd1,Ewsr1
Adamts14,Pold2
Slc4a1ap,Myo1g
Mbd3,Pno1
Bicd2,Pno1
Cars,Actr2
Ube2d3,Cnih1
Pim1,Osgep
Tial1,Pnp
Tcf12,Hnrnpc
Eif4e,Cab39l
Plxna2,Sox7
Zfp853,Loxl2
Ccl3,Thoc3
Chka,Use1
Ccdc9b,Mvb12a
Cbx6,Lsm4
Cdk2ap2,Fkbp8
Plekhg5,Gatad2a
Man2c1,Mrps31
Arg2,Col4a1
Ewsr1,Eci3
Asxl2,Acot13
A030005L19Rik,Trim27
Bcas1,Stard3nl
Nktr,Hax1
Sphk1,Mrpl32
Ahnak,Rbm17
Pml,Mindy3
Slc9a3r2,Cxxc1
Tpst2,Tcof1
Sema3f,Lars1
Rin3,Pcdhga7
Ctla2b,Brd8
Rcan3,Fam13b
Foxred2,Slc25a46
Kalrn,Slc39a6
Rabgef1,Cmtm3
Trim26,Setd6
Hdac3,Nup93
Eppk1,Mcm5
Piga,Fto
Gin1,Orc6
Gps2,Tmem184c
Gnb5,Ripor1
Rcan1,Enkd1
Foxo3,Psmb10
Naa10,Utp4
Exoc5,Ddx19a
Baiap2,Trappc2l
BC035947,Rnf217
Rundc3b,Armt1
Arrdc1,Sft2d1
Cabp1,Katna1
Lims2,Fiz1
Grip1,Ube2s
Lmo7,Pak4
Phkg2,Spint2
Slc10a6,Gpatch1
Mdm4,Ctu1
Fgfr1op,Tbc1d17
Zfp511,Ptov1
Zfp512b,Nosip
Meis2,Pih1d1
Map3k6,Htatip2
Mfn1,Bclaf1
Kif24,Mrpl46
Gpr137,Zfand6
Art3,Spcs2
Celf3,Folr2
Gk5,Lrrc51
Duoxa2,Slx1b
Klhl18,Sirt3
Olfr464,Ptdss2
Ctbp1,Ptdss2
Nell1,Rassf7
Asgr2,Sf3b2
Llgl1,Snx15
Arhgef10l,Ehd1
Itgbl1,Esrra
Gm10778,Ganab
Abca7,B3gat3
Cacna1a,Mrpl16
Pde2a,Lpxn
Erich2,Sfr1
Pth,Pik3ap1
Crls1,Moxd1
Fgfbp3,C20h6orf136
Lrriq3,Nelfe
Igkv3-2,Smpdl3a
Ctnnd1,Rpf2
Gm14685,Arb2a
