Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
NURSA_Human_Endogenous_Complexome,AB81 (BRCA1),42/457,0.000591554,0.005393401,0,0,1.798743099,13.36962218,TOP2A;SF3B2;COPA;HIP1;SHMT1;AKAP8L;HNRNPU;PEBP1;USP39;ELAVL1;NOL6;SART1;BCLAF1;GANAB;GOLGA4;TCOF1;CAPZB;PUF60;LMNA;DLAT;RBM39;RFC3;HNRNPA3;XRCC6;NPM1;SSR4;ACTL6A;ANXA5;DDX52;HNRNPAB;SND1;PDIA4;TOX4;HNRNPK;PRPF6;ACTC1;EWSR1;FUBP1;MAGED2;UBA1;HNRNPC;MAD1L1
NURSA_Human_Endogenous_Complexome,BL1052 (N4BP2),34/346,0.000598098,0.005425386,0,0,1.932762582,14.3444925,TOP2A;SF3B2;AKAP8L;ARAF;AKAP8;CXXC1;HNRNPU;CLTA;DDX41;GIGYF2;PCMT1;TCOF1;YWHAQ;PUF60;U2AF2;LMNA;LUC7L;HMG20B;CCT7;RBM17;RBM39;XRCC6;NPM1;BOD1;ACTL6A;DYNLL2;HNRNPAB;GATAD2A;TOX4;DNAJA1;HNRNPK;EIF2S3;HNRNPC;MAD1L1
NURSA_Human_Endogenous_Complexome,CBC412 (AHCTF1),25/227,0.000605102,0.005433759,0,0,2.189237118,16.22249381,TOP2A;HDAC3;PSMD13;HNRNPU;DDX41;USP39;SART1;TCOF1;POLD2;RBM39;NPM1;RFC3;HNRNPA3;ANGPT2;ACTL6A;DDX52;HNRNPAB;HNRNPK;PRPF6;EIF2S3;EWSR1;PRC1;TAF6;KIFC3;MAD1L1
NURSA_Human_Endogenous_Complexome,BL1014 (INTS3),25/227,0.000605102,0.005433759,0,0,2.189237118,16.22249381,TOP2A;LDB1;HNRNPU;PEBP1;C3;PPP2CB;PUF60;POLR2C;LMNA;BRD4;RBM39;XRCC6;NPM1;RFC3;ACTL6A;DNAJC12;DDX52;GATAD2A;HNRNPK;ACTC1;RAB15;MAGED2;NF2;PIK3AP1;MAD1L1
NURSA_Human_Endogenous_Complexome,BL990 (INCENP),28/266,0.000609334,0.005444398,0,0,2.082966267,15.42049958,TOP2A;HNRNPU;PEBP1;ELAVL1;GOLGA4;TCOF1;PUF60;U2AF2;LMNA;MAP6;DLAT;RBM39;NPM1;RFC3;CIZ1;PNO1;DDX52;HNRNPAB;GATAD2A;PDIA4;HNRNPK;ACTC1;FUBP1;MAGED2;UBA1;TAF6;HNRNPC;MAD1L1
NURSA_Human_Endogenous_Complexome,BL6632 (FOXK1),19/153,0.000623608,0.005475354,0,0,2.503065032,18.47259253,RBM39;RFC3;NPM1;HDAC3;MAX;ACTL6A;HNRNPU;GPS2;FOXK2;PCMT1;HNRNPK;ACTC1;YWHAQ;SIN3A;U2AF2;LMNA;HMG20B;HNRNPC;TBL1X
NURSA_Human_Endogenous_Complexome,BL2928 (BHLHE40),19/153,0.000623608,0.005475354,0,0,2.503065032,18.47259253,TOP2A;RBM17;SF3B2;AKAP8;HNRNPU;USP39;PCMT1;PRPF4;SART1;PRPF6;HNRNPK;PIK3CA;TCOF1;EWSR1;U2AF2;DLAT;MAD1L1;SF1;RBM6
NURSA_Human_Endogenous_Complexome,BL1461 (MAD2L1),45/501,0.00062503,0.005475354,0,0,1.755114846,12.94872976,TOP2A;COPA;DOCK7;HNRNPU;SMC4;ELAVL1;GIGYF2;CAPZB;PUF60;U2AF2;LMNA;CTNNA1;EP400;ANXA7;HMG20B;CCT7;ABCF3;RBM39;RFC3;XRCC6;NPM1;MORC3;ACTL6A;ANXA5;AIP;PLA2G4A;DDX52;DYNLL2;HNRNPAB;GATAD2A;ARFGAP2;EHD1;MED23;DNAJA1;DDX19A;HNRNPK;POLR3A;ACTC1;HEATR5A;UBE2S;FUBP1;TIMELESS;MAGED2;UBA1;MAD1L1
NURSA_Human_Endogenous_Complexome,BL4224 (BPTF),16/118,0.000625054,0.005475354,0,0,2.766047375,20.40699005,TOP2A;RBM39;RFC3;CPSF1;ACTL6A;HNRNPU;GATAD2A;TOX4;TCOF1;PUF60;SIN3A;LMNA;EP400;LEO1;TAF6;KIF20A
NURSA_Human_Endogenous_Complexome,BL3467 (SUPT6H),22/190,0.000641917,0.005580883,0,0,2.31406804,17.01083253,TOP2A;RBM39;XRCC6;RFC3;CAMK2D;NPM1;HP1BP3;ACTL6A;AKAP8;HNRNPU;SUPT6H;F3;GATAD2A;PCMT1;AIMP2;HNRNPK;HAX1;ACTC1;TCOF1;PUF60;U2AF2;LMNA
NURSA_Human_Endogenous_Complexome,BL2586 (NCOR2),14/96,0.000643347,0.005580883,0,0,3.008168108,22.1065028,TOP2A;RBM39;XRCC6;ACTL6A;HNRNPU;DDX52;HNRNPK;ACTC1;PIK3CA;TCOF1;FUBP1;LMNA;DLAT;MAD1L1
NURSA_Human_Endogenous_Complexome,BL8472 (MADD),21/178,0.000659689,0.005694999,0,0,2.362805427,17.30457631,OSBPL9;TOP2A;CSF1R;RBM39;RFC3;NPM1;PSMD13;AKAP8L;AKAP8;HNRNPU;USP39;ELAVL1;DNAJA1;SART1;PRPF6;YWHAQ;TCOF1;PUF60;FUBP1;LMNA;MLX
NURSA_Human_Endogenous_Complexome,BL6398 (BCAR3),20/166,0.000671632,0.005770225,0,0,2.418974471,17.67254297,TOP2A;RBM39;XRCC6;RFC3;NPM1;ACTL6A;HNRNPU;DLST;DDX52;ARFGAP2;GOLGA4;HNRNPK;GNL3L;TCOF1;PUF60;LMNA;OGDH;CCT7;RBM45;MAD1L1
NURSA_Human_Endogenous_Complexome,BL8109 (RAD54L2),38/404,0.000685255,0.005842707,0,0,1.843119722,13.42845326,TOP2A;HNRNPU;DLST;PEBP1;DDX41;ELAVL1;PCMT1;SART1;TCOF1;PUF60;YWHAQ;LMNA;MAP6;DLAT;CCT7;RBM39;RFC3;XRCC6;NPM1;ACTL6A;ANXA5;DDX52;HNRNPAB;GATAD2A;PDIA4;DNAJA1;HNRNPK;ACTC1;FUBP1;EIF3J;OGDH;EIF3G;MAGED2;UBA1;HNRNPC;KIF20A;MAD1L1;EIF3B
NURSA_Human_Endogenous_Complexome,EPI-2593-1 (RUNX1),16/119,0.000686608,0.005842707,0,0,2.73904696,19.95052507,TOP2A;XRCC6;RFC3;NPM1;CPSF1;PNO1;HNRNPU;DDX52;SART1;DDX19A;HNRNPK;UBA1;TAF6;TCF3;CCT7;MAD1L1
NURSA_Human_Endogenous_Complexome,BL3283 (C7orf27),27/255,0.000690856,0.00585099,0,0,2.095805921,15.25239488,TOP2A;AKAP8;HNRNPU;DLST;USP39;ELAVL1;TCOF1;PUF60;U2AF2;LMNA;EP400;CCT7;RBM39;XRCC6;NPM1;RFC3;HNRNPA3;PNO1;ACTL6A;DDX52;HNRNPK;EIF2S3;ACTC1;OGDH;MAGED2;RBM45;MAD1L1
NURSA_Human_Endogenous_Complexome,BL2452 (TGFB1I1),32/322,0.000705872,0.005949968,0,0,1.955654713,14.1903805,TOP2A;CSF1R;COPA;HP1BP3;AKAP8L;AKAP8;HNRNPU;DLST;USP39;ELAVL1;PUF60;SIN3A;LMNA;EP400;AZI2;RBM39;XRCC6;NPM1;RFC3;PNO1;ACTL6A;AIP;DDX52;HNRNPAB;GATAD2A;HNRNPK;ACTC1;DNAJB11;MAGED2;TAF6;HNRNPC;MAD1L1
NURSA_Human_Endogenous_Complexome,BL443 (EP300),21/179,0.000710148,0.005957911,0,0,2.34772581,17.02109824,TOP2A;RBM39;XRCC6;RFC3;NPM1;HNRNPA3;HNRNPU;ELAVL1;SENP3;HNRNPAB;DNAJA1;HNRNPK;ACTC1;TCOF1;U2AF2;LMNA;TUBGCP5;TAF6;HNRNPC;TBL1X;MAD1L1
NURSA_Human_Endogenous_Complexome,BL282 (RFC4),14/97,0.000715124,0.005971622,0,0,2.971767331,21.52467187,TOP2A;XRCC6;RFC3;SF3B2;HNRNPA3;PNO1;ACTL6A;AIP;HNRNPU;HNRNPAB;HNRNPK;TCOF1;LMNA;MAGED2
NURSA_Human_Endogenous_Complexome,BL5117 (ILK),20/167,0.000725086,0.005998742,0,0,2.402390872,17.36741367,TOP2A;RBM17;RBM39;RFC3;HNRNPA3;CPSF1;HNRNPU;DYNLL2;HNRNPAB;SMU1;PCMT1;SART1;DDX19A;PRPF6;HNRNPK;ACTC1;TCOF1;EWSR1;LMNA;MAD1L1
NURSA_Human_Endogenous_Complexome,BL2430 (NCOA4),20/167,0.000725086,0.005998742,0,0,2.402390872,17.36741367,TOP2A;RBM39;COPA;XRCC6;RFC3;NPM1;PNO1;ACTL6A;NCOA4;HNRNPU;DLST;DDX52;SMC4;TOX4;HNRNPK;ACTC1;TCOF1;LMNA;DLAT;MAD1L1
