Reporter Identifier	VALUE
1	0.001538265
2	0.001266375
3	0.003250371
4	0.000726787
5	0.000209555
6	7.632E-05
7	0.31887657
8	0.002985152
9	0.005035044
10	0.006005999
11	0.002521888
12	4.93162E-05
13	2.70075E-05
14	0.001059736
15	4.08847E-05
16	0.102658145
17	0.000339246
18	0.000101216
19	0.022583611
20	0.010647954
21	0.000666189
22	0.001164979
23	0.012651217
24	3.469721817
25	9.733239129
26	0.374132189
27	0.176411926
28	0.00106755
29	0.007417866
30	0.048097976
31	0.000254671
32	2.471042801
33	0.054568795
34	0.001043553
35	0.020316842
36	0.025047666
37	0.001631393
38	0.007706652
39	0.001492783
40	0.010073578
41	3.08767306
42	0.112642253
43	0.403102881
44	0.829676024
45	8.596920708
